,name,Price
27,Samsung Galaxy A22 Dual SIM  -  128GB HDD  -  4GB RAM Smartphone 5G  -  Violet,"GH₵ 1,395.46"
28,M11 T-WS LCD Bluetooth 5.0 Wireless Headphones - Black,GH₵ 65.00
29,Itel S16 Dual SIM Smartphone - 16GB HDD - 1GB RAM - Cosmic Shine,GH₵ 454.55
30,Itel A16 Plus - 8GB HDD - 1GB RAM -  Phantom Black + Free Gifts,GH₵ 268.18
31,Itel A16 Plus - 8GB HDD - 1GB RAM - Champagne Gold,GH₵ 268.18
32,Itel It 2173 Dual SIM Feature Phone - 512MB ROM - 512MB RAM - Blue,GH₵ 86.33
33,SOWHAT V4 - 8GB HDD - 1GB RAM Smartphone – Blue + 16GB SD Card,GH₵ 240.00
34,V3 - 8GB HDD - 1GB RAM Smartphone - Blue,GH₵ 242.50
35,"Nokia 106 Dual SIM FM  Basic Phone - 1.8"" - 4MB ROM - 4MB RAM - Black",GH₵ 82.00
36,"X Tigi T1 Mini - 1.77"" - Dual SIM Cell Phone - 32MB HDD- 32MB RAM - Blue",GH₵ 88.00
37,Nokia 105 (4th Edition) Dual SIM Cell Phone - Black,GH₵ 121.00
38,SOWHAT V3 Dual SIM - 8GB HDD - 1GB RAM Smartphone - Green,GH₵ 230.00
39,Nokia 5310 XpressMusic -  2.1 Inch Blue,GH₵ 142.00
40,"X Tigi T1 - Walkie Talkie Telephone Tri SIM - 2.4"" - 64MB - Black",GH₵ 159.00
41,X-INOVA Magic 4 - 16GB HDD - 2GB RAM - Blue,GH₵ 260.00
42,"Nokia 215 2G 2.4"" Cellphone Bluetooth Dual SIM 0.3MP GSM 900 /1800-- Black",GH₵ 138.00
43,Bontel Sleek Dual SIM Phone with FM Radio + FREE MP3 Player & Earpiece,GH₵ 81.00
44,Nokia Asha 210 Bluetooth Wi-Fi Mobile Phone -white,GH₵ 192.00
45,Itel S16 Dual SIM Smartphone - 16GB HDD - 1GB RAM,GH₵ 454.55
46,Infinix Smart HD X612 (2021) - 32GB HDD - 2GB RAM Smartphone -  Topaz Blue,GH₵ 604.00
47,TCL L7 Smartphone  - 32GB HDD - 2GB RAM - Black,GH₵ 383.04
48,Itel S16 Dual SIM Smartphone - 16GB HDD - 1GB RAM - Cosmic Shine,GH₵ 454.55
49,Tecno POP 3 (BB2) Dual SIM - 16GB HDD - 1GB RAM Smartphone - Champaign Gold,GH₵ 558.57
50,Itel S16 Dual SIM Smartphone - 16GB HDD - 1GB RAM - Dazzle Black,GH₵ 432.00
51,X-INOVA Magic 9 Dual SIM Smartphone - 16GB HDD - 2GB RAM - Black,GH₵ 310.40
52,TCL 20E Dual SIM - 32GB - 3GB RAM Smartphone - Blue,GH₵ 605.00
53,Xiaomi Redmi 9A  Smartphone  -  32GB HDD - 2GB RAM -  Sky Blue,GH₵ 686.36
54,TCL L7 Smartphone  - 32GB HDD - 2GB RAM - Black/Green,GH₵ 385.00
55,Apple IPhone 5S 16GB With Finger Sensor 4G LTE ( Gift ) Refurbiished,GH₵ 482.00
56,Anica T8 1.54 Inch 400mAh Ultra Thin Dual SIM Blu Black (bla,GH₵ 369.00
57,"Amazon Kindle Fire HD 7 Kids Tablet - 16GB HDD - 1GB RAM -  7"" - Red",GH₵ 577.15
58,Anica T8 1.54 Inch 400mAh Ultra Thin Dual SIM blu Gold (gold,GH₵ 429.00
59,"X Tigi Hope8 LTE 4G Tablet - 32GB HDD - 2GB RAM- 8.0"" - Dual SIM - Black",GH₵ 569.00
