,Laptop Name,Price,Links
30,Apple MacBook Pro - 256GB SSD 8GB RAM -13.3 -Space-Gray,"GH₵ 9,000.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
31,Foldable Non-slip Laptop N Stand Portable Thin PC Bracket Ph,GH₵ 129.00,https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
32,"Hp 250 G7 - 15.6"" - Intel Celeron N4000 - 1TB HDD - 4GB RAM - Windows 10 Laptop - Gray","GH₵ 2,789.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
33,"Hp Envy x360 Core i5 Up to 4.2 GHz Convertible Laptop - 8G RAM - 256G SSD - 13.3"" Touch - Pale Gold","GH₵ 7,215.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
34,"Hp Omen Notebook Full HD Touch Screen 15.6"" - Intel Core i7 - 16GB RAM - 512GB SSD - Black","GH₵ 20,789.65",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
35,"Hp 14-CF2187NIA 10th Gen Intel Core i3 - 1TB HDD - 4GB RAM - 14.0"" - Windows 10 - Black","GH₵ 2,899.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
36,"Hp Notebook 15DY1076NR - 15.6"" - 10th Gen Core i5-1035G1 - 12GB RAM - 256GB SSD - Windows 10 - Silver","GH₵ 4,266.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
37,"DELL Vostro 3000 Series - 11th Gen Intel Core i3-1115G4 - 1TB HDD - 8GB RAM - 15.6"" - Windows 10 - Gray","GH₵ 3,889.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
38,"Lenovo V15 Intel Core i3 - 10th Generation 15.6"" - 4 GB RAM -1 TB HDD - Win 10 Pro - Iron Gray","GH₵ 2,950.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
39,Apple MacBook Pro M1- 256GB-HDD-8GB-RAM-13.3-Space-Gray,"GH₵ 9,000.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
40,Hp Pavilion 15-eg0073cl 15.6″ Touchscreen Laptop – 11th Gen Intel Core i7-1165G7 4.7 GHz -16GB RAM – 512GB SSD – Backlit Keyboard - Fog Blue,"GH₵ 6,990.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
41,"Hp ProBook 450 Notebook - 15.6 Inches - Intel Core i5, 4GB RAM, 500GB HDD, Win 10 Pro.- Black","GH₵ 2,800.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
42,"Lenovo IdeaPad 1 11IGL05 11.6"" - 4GB RAM - 128GB SSD - Intel Celeron N4020 Win10 - Platinum Grey","GH₵ 2,299.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
43,"Lenovo IdeaPad 330 - 15.6"" - Intel Celeron - 1TB HDD - 4GB DDR4 RAM - Windows 10 - Pentium Gray","GH₵ 2,600.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
44,Hp Laptop 14 inch Touchscreen - AMD 3020e - 4GB RAM - 64GB eMMC Storage - Windows 10 - Silver,"GH₵ 2,499.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
45,Hp Notebook 15 15-DY2131WM - Core i3-1115G4- 10th Gen- 8GB Ram-256GB SSD- Windows 10 - Silver,"GH₵ 3,800.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
46,Hp Notebook 15-dw1197nia Intel Core i3 – 4GB RAM – 1TB HDD – 15.6” LED Screen,"GH₵ 3,373.50",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
47,"Lenovo IdeaPad 330 - 15.6"" - Intel Celeron - 1TB HDD - 4GB DDR4 RAM - Windows 10 - Pentium Gray","GH₵ 2,600.00",https://www.jumia.com.gh/hp-notebook-15-15-dy2131wm-core-i3-1115g4-10th-gen-8gb-ram-256gb-ssd-windows-10-silver-37691586.html
