,phone_name,phone_price,url_links
0,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset - Black,GH₵ 72.00,https://www.jumia.com.gh/lenovo-lp40-wireless-earphone-bluetooth-5.0-waterproof-earphone-touch-headset-black-22654156.html
1,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset white,GH₵ 72.00,https://www.jumia.com.gh/lenovo-lp40-wireless-earphone-bluetooth-5.0-waterproof-earphone-touch-headset-white-22654157.html
2,Lenovo XT90 In-ear Earphones 5.0 Headphones True Wireless Earbuds with Touch Control,GH₵ 55.00,https://www.jumia.com.gh/lenovo-xt90-in-ear-earphones-5.0-headphones-true-wireless-earbuds-with-touch-control-20914250.html
3,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 592.10,https://www.jumia.com.gh/samsung-galaxy-a03-core-32gb-hdd-2gb-ram-smartphone-blue-41951200.html
4,Tecno Spark Go 2021 - 32GB HDD - 2GB RAM Smartphone -  Maldives Blue,GH₵ 592.00,https://www.jumia.com.gh/tecno-spark-go-2021-32gb-hdd-2gb-ram-smartphone-maldives-blue-34311709.html
5,ARHANORY Tripod Stand with LED Ring Light for Phones Laptop Plastic-Black,GH₵ 35.00,https://www.jumia.com.gh/tripod-stand-with-led-ring-light-for-phones-laptop-plastic-black-arhanory-mpg454979.html
6,Wireless Bluetooth 5.0 Waterproof Headphones - Black,GH₵ 43.00,https://www.jumia.com.gh/wireless-bluetooth-5.0-waterproof-headphones-black-generic-mpg456030.html
7,Lenovo LP40 Bluetooth 5.0 True Wireless Sport Headset -  White,GH₵ 59.00,https://www.jumia.com.gh/lenovo-lp40-bluetooth-5.0-true-wireless-sport-headset-white-21008805.html
8,Itel A16 Plus - 8GB HDD - 1GB RAM -  Phantom Black + Free Gifts,GH₵ 251.00,https://www.jumia.com.gh/itel-a16-plus-8gb-hdd-1gb-ram-phantom-black-free-gifts-33067473.html
9,V9 Earhook Wireless Bluetooth Earphone CSR Noise Cancelling Earpiece Headset Portable,GH₵ 33.00,https://www.jumia.com.gh/v9-earhook-wireless-bluetooth-earphone-csr-noise-cancelling-earpiece-headset-portable-14746697.html
10,Bluetooth 5.0 Earphones 2200mAh Wireless Headphone,GH₵ 43.00,https://www.jumia.com.gh/generic-bluetooth-5.0-earphones-2200mah-wireless-headphone-18121141.html
11,Itel S16 Dual SIM Smartphone - 16GB HDD - 1GB RAM,GH₵ 416.67,https://www.jumia.com.gh/s16-dual-sim-smartphone-16gb-hdd-1gb-ram-ice-crystal-blue-itel-mpg438381.html
12,F9-32 Stereo V5.1 Bluetooth Earphone Power Banks,GH₵ 51.00,https://www.jumia.com.gh/generic-f9-32-stereo-v5.1-bluetooth-earphone-power-banks-38610988.html
13,In-Ear Headphones-Double Horn Black Red,GH₵ 16.00,https://www.jumia.com.gh/generic-in-ear-headphones-double-horn-black-red-31245519.html
14,F9 V5.1 Wireless Bluetooth Digital Display earphone -Black,GH₵ 59.00,https://www.jumia.com.gh/generic-f9-v5.1-wireless-bluetooth-digital-display-earphone-black-38611560.html
15,Itel A16 Plus - 8GB HDD - 1GB RAM -  Phantom Black + Free Gifts,GH₵ 251.00,https://www.jumia.com.gh/itel-a16-plus-8gb-hdd-1gb-ram-phantom-black-free-gifts-33067473.html
16,Itel A16 Plus - 8GB HDD - 1GB RAM - Champagne Gold,GH₵ 251.00,https://www.jumia.com.gh/itel-a16-plus-8gb-hdd-1gb-ram-champagne-gold-33067474.html
17,Nokia C2-05 2GSM 2.0''  Slide Touch &Type Mp3 Player Mobile Phone,GH₵ 139.00,https://www.jumia.com.gh/c2-05-2gsm-2.0-slide-touch-type-mp3-player-mobile-phone-nokia-mpg449407.html
18,Itel It 2173 Dual SIM Feature Phone - 512MB ROM - 512MB RAM - Blue,GH₵ 78.98,https://www.jumia.com.gh/it-2173-dual-sim-feature-phone-512mb-rom-512mb-ram-black-grey-itel-mpg455309.html
19,"X Tigi T1 Mini - 1.77"" - Dual SIM Cell Phone - 32MB HDD- 32MB RAM - Blue",GH₵ 88.00,https://www.jumia.com.gh/x-tigi-t1-mini-1.77-dual-sim-cell-phone-32mb-hdd-32mb-ram-blue-31301179.html
20,Itel 5081 Triple SIM Phone  Wireless FM Radio - Dark Blue,GH₵ 97.00,https://www.jumia.com.gh/itel-5081-triple-sim-phone-wireless-fm-radio-dark-blue-18120412.html
21,Nokia 105 (4th Edition) Dual SIM Cell Phone - Black,GH₵ 121.00,https://www.jumia.com.gh/105-4th-edition-dual-sim-cell-phone-black-nokia-mpg441344.html
22,Itel 2173 Dual Cell Phone - 512MB ROM - 512MB RAM - Black/ Blue + Free Battery & Earpiece,GH₵ 98.00,https://www.jumia.com.gh/2173-dual-cell-phone-512mb-rom-512mb-ram-black-blue-free-battery-earpiece-itel-mpg453632.html
23,Nokia 110 (2019 Edition) Dual SIM Feature Phone - Black,GH₵ 200.00,https://www.jumia.com.gh/110-2019-edition-dual-sim-feature-phone-black-nokia-mpg441613.html
24,Nokia Asha 210 Bluetooth Wi-Fi Mobile Phone -white,GH₵ 175.00,https://www.jumia.com.gh/nokia-asha-210-bluetooth-wi-fi-mobile-phone-white-19082216.html
25,Bontel Dual SIM Phone with FM Radio + FREE P47 Headphone  - Black/Multicolour,GH₵ 94.00,https://www.jumia.com.gh/dual-sim-phone-with-fm-radio-free-p47-headphone-blackmulticolour-bontel-mpg453617.html
26,Bontel 3310 Dual Sim Phone - Black/Grey Plus Free P47 Headset,GH₵ 91.00,https://www.jumia.com.gh/bontel-3310-dual-sim-phone-blackgrey-plus-free-p47-headset-22195114.html
27,Nokia 5310 XpressMusic -  2.1 Inch Blue,GH₵ 130.00,https://www.jumia.com.gh/nokia-5310-xpressmusic-2.1-inch-blue-7113586.html
28,SOWHAT V3 Dual SIM - 8GB HDD - 1GB RAM Smartphone - Green,GH₵ 230.00,https://www.jumia.com.gh/sowhat-v3-dual-sim-8gb-hdd-1gb-ram-smartphone-green-42412787.html
29,Nokia 1280 GSM Bar Cellphone 800 MAh  Basic Phone,GH₵ 59.09,https://www.jumia.com.gh/nokia-1280-gsm-bar-cellphone-800-mah-basic-phone-42807234.html
30,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 592.10,https://www.jumia.com.gh/samsung-galaxy-a03-core-32gb-hdd-2gb-ram-smartphone-blue-41951200.html
31,Tecno Spark Go 2021 - 32GB HDD - 2GB RAM Smartphone -  Maldives Blue,GH₵ 592.00,https://www.jumia.com.gh/tecno-spark-go-2021-32gb-hdd-2gb-ram-smartphone-maldives-blue-34311709.html
32,Itel S16 Dual SIM Smartphone - 16GB HDD - 1GB RAM,GH₵ 416.67,https://www.jumia.com.gh/s16-dual-sim-smartphone-16gb-hdd-1gb-ram-ice-crystal-blue-itel-mpg438381.html
33,Infinix Smart HD X612 (2021) - 32GB HDD - 2GB RAM Smartphone -  Topaz Blue,GH₵ 604.00,https://www.jumia.com.gh/infinix-smart-hd-x612-2021-32gb-hdd-2gb-ram-smartphone-topaz-blue-32558902.html
34,TCL L7 Smartphone  - 32GB HDD - 2GB RAM - Black,GH₵ 383.04,https://www.jumia.com.gh/l7-smartphone-32gb-hdd-2gb-ram-black-tcl-mpg441224.html
35,Infinix X657C Smart 5 Dual SIM (4G) Smartphone - 32GB HDD - 2GB RAM - Midnight Black,GH₵ 644.00,https://www.jumia.com.gh/x657c-smart-5-dual-sim-4g-smartphone-32gb-hdd-2gb-ram-midnight-black-infinix-mpg456206.html
36,M40 Pro Android  512gb Dual Sim 6.1 OLed Touch Screen - Orange,GH₵ 499.00,https://www.jumia.com.gh/white-label-m40-pro-android-512gb-dual-sim-6.1-oled-touch-screen-orange-37435835.html
37,Xiaomi Redmi 9A  Smartphone  -  32GB HDD - 2GB RAM -  Sky Blue,GH₵ 650.00,https://www.jumia.com.gh/redmi-9a-smartphone-32gb-hdd-2gb-ram-sky-blue-xiaomi-mpg454175.html
38,Itel S16 Dual SIM Smartphone - 16GB HDD - 1GB RAM - Cosmic Shine,GH₵ 432.00,https://www.jumia.com.gh/itel-s16-dual-sim-smartphone-16gb-hdd-1gb-ram-cosmic-shine-33349850.html
39,Tecno POP 3 (BB2) Dual SIM - 16GB HDD - 1GB RAM Smartphone - Champaign Gold,GH₵ 444.30,https://www.jumia.com.gh/tecno-pop-3-bb2-dual-sim-16gb-hdd-1gb-ram-smartphone-champaign-gold-32323165.html
40,Apple IPhone 5S 16GB With Finger Sensor 4G LTE ( Gift ) Refurbiished,GH₵ 440.00,https://www.jumia.com.gh/apple-iphone-5s-16gb-with-finger-sensor-4g-lte-gift-refurbiished-7775361.html
41,TCL 20E Dual SIM - 32GB - 3GB RAM Smartphone - Blue,GH₵ 605.00,https://www.jumia.com.gh/tcl-20e-dual-sim-32gb-3gb-ram-smartphone-blue-31316969.html
42,TCL L7 Smartphone  - 32GB HDD - 2GB RAM - Black/Green,GH₵ 385.00,https://www.jumia.com.gh/tcl-l7-smartphone-32gb-hdd-2gb-ram-blackgreen-37675352.html
43,Xiaomi Redmi 9A  Smartphone  -  32GB HDD - 2GB RAM -   Granite Gray,GH₵ 650.00,https://www.jumia.com.gh/xiaomi-redmi-9a-smartphone-32gb-hdd-2gb-ram-granite-gray-41955516.html
44,Itel A56 (2020) - 16GB HDD - 1GB RAM - 4000mAh - Blue,GH₵ 400.00,https://www.jumia.com.gh/a56-2020-16gb-hdd-1gb-ram-4000mah-blue-itel-mpg439060.html
45,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset - Black,GH₵ 72.00,https://www.jumia.com.gh/lenovo-lp40-wireless-earphone-bluetooth-5.0-waterproof-earphone-touch-headset-black-22654156.html
46,Fingerprint Touch Noise-cancelling Stereo Bluetooth Headset - Black,GH₵ 28.00,https://www.jumia.com.gh/generic-fingerprint-touch-noise-cancelling-stereo-bluetooth-headset-black-31815088.html
47,Lenovo LP40 Wireless Earphone Bluetooth 5.0 Waterproof Earphone Touch headset white,GH₵ 72.00,https://www.jumia.com.gh/lenovo-lp40-wireless-earphone-bluetooth-5.0-waterproof-earphone-touch-headset-white-22654157.html
48,Lenovo XT90 In-ear Earphones 5.0 Headphones True Wireless Earbuds with Touch Control,GH₵ 55.00,https://www.jumia.com.gh/lenovo-xt90-in-ear-earphones-5.0-headphones-true-wireless-earbuds-with-touch-control-20914250.html
49,TWS Wireless Bluetooth Earphones - White,GH₵ 38.80,https://www.jumia.com.gh/wireless-bluetooth-earphones-white-tws-mpg430467.html
50,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 592.10,https://www.jumia.com.gh/samsung-galaxy-a03-core-32gb-hdd-2gb-ram-smartphone-blue-41951200.html
51,Wireless Bluetooth 5.0 Waterproof Headphones - Black,GH₵ 43.00,https://www.jumia.com.gh/wireless-bluetooth-5.0-waterproof-headphones-black-generic-mpg456030.html
52,Tripod Mobile phone Camera Foldable Stand Holder Table Smartphone Tripod,GH₵ 34.00,https://www.jumia.com.gh/generic-tripod-mobile-phone-camera-foldable-stand-holder-table-smartphone-tripod-16841886.html
53,IOOIOO Micro SD Memory Card - 32GB - Black,GH₵ 23.00,https://www.jumia.com.gh/micro-sd-memory-card-32gb-black-generic-mpg429117.html
54,ARHANORY Tripod Stand with LED Ring Light for Phones Laptop Plastic-Black,GH₵ 35.00,https://www.jumia.com.gh/tripod-stand-with-led-ring-light-for-phones-laptop-plastic-black-arhanory-mpg454979.html
55,Tecno Spark Go 2021 - 32GB HDD - 2GB RAM Smartphone -  Maldives Blue,GH₵ 592.00,https://www.jumia.com.gh/tecno-spark-go-2021-32gb-hdd-2gb-ram-smartphone-maldives-blue-34311709.html
56,Lenovo LP40 Bluetooth 5.0 True Wireless Sport Headset -  White,GH₵ 59.00,https://www.jumia.com.gh/lenovo-lp40-bluetooth-5.0-true-wireless-sport-headset-white-21008805.html
57,C3 Bluetooth 5.0 Wireless Headsets 10D Stereo Headphones With LED sports Earphone PRO3,GH₵ 32.00,https://www.jumia.com.gh/generic-c3-bluetooth-5.0-wireless-headsets-10d-stereo-headphones-with-led-sports-earphone-pro3-33321072.html
