,Product Name,Price,Product Link
25,Bontel Dual SIM Phone with FM Radio + FREE P47 Headphone  - Black/Multicolour,GH₵ 94.00,/dual-sim-phone-with-fm-radio-free-p47-headphone-blackmulticolour-bontel-mpg453617.html
26,Nokia 105 (4th Edition) Dual SIM Cell Phone - Blue,GH₵ 105.00,/105-4th-edition-dual-sim-blue-nokia-mpg437862.html
27,"Itel It 2173 Dual Sim Phone  - Black + 30,000 mAh Powerbank",GH₵ 104.00,/itel-it-2173-dual-sim-phone-black-30000-mah-powerbank-31796792.html
28,SOWHAT V3 Dual SIM - 8GB HDD - 1GB RAM Smartphone - Green,GH₵ 230.00,/sowhat-v3-dual-sim-8gb-hdd-1gb-ram-smartphone-green-42412787.html
29,Itel 2173 Dual Cell Phone - 512MB ROM - 512MB RAM - Black/ Blue + Free Battery & Earpiece,GH₵ 90.00,/2173-dual-cell-phone-512mb-rom-512mb-ram-black-blue-free-battery-earpiece-itel-mpg453632.html
30,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Black,GH₵ 554.00,/samsung-galaxy-a03-core-32gb-hdd-2gb-ram-smartphone-black-41951199.html
31,Samsung Galaxy A03 Core - 32GB HDD - 2GB RAM Smartphone - Blue,GH₵ 542.71,/samsung-galaxy-a03-core-32gb-hdd-2gb-ram-smartphone-blue-41951200.html
32,Tecno Spark Go 2021 - 32GB HDD - 2GB RAM Smartphone -  Maldives Blue,GH₵ 562.68,/tecno-spark-go-2021-32gb-hdd-2gb-ram-smartphone-maldives-blue-34311709.html
33,M40 Pro Android  512gb Dual Sim 6.1 OLed Touch Screen - Orange,GH₵ 499.00,/white-label-m40-pro-android-512gb-dual-sim-6.1-oled-touch-screen-orange-37435835.html
34,Infinix Smart HD X612 (2021) - 32GB HDD - 2GB RAM Smartphone -  Topaz Blue,GH₵ 585.20,/infinix-smart-hd-x612-2021-32gb-hdd-2gb-ram-smartphone-topaz-blue-32558902.html
35,Itel S16 Dual SIM Smartphone - 16GB HDD - 1GB RAM,GH₵ 432.00,/s16-dual-sim-smartphone-16gb-hdd-1gb-ram-ice-crystal-blue-itel-mpg438381.html
36,TCL L7 Smartphone  - 32GB HDD - 2GB RAM - Black,GH₵ 383.04,/l7-smartphone-32gb-hdd-2gb-ram-black-tcl-mpg441224.html
37,XIAOMI Redmi 9A  Smartphone  -  32GB HDD - 2GB RAM -   Granite Gray,GH₵ 635.00,/xiaomi-redmi-9a-smartphone-32gb-hdd-2gb-ram-granite-gray-41955516.html
38,Tecno POP 3 (BB2) Dual SIM - 16GB HDD - 1GB RAM Smartphone - Champaign Gold,GH₵ 422.28,/tecno-pop-3-bb2-dual-sim-16gb-hdd-1gb-ram-smartphone-champaign-gold-32323165.html
39,Itel S16 Dual SIM Smartphone - 16GB HDD - 1GB RAM - Cosmic Shine,GH₵ 432.00,/itel-s16-dual-sim-smartphone-16gb-hdd-1gb-ram-cosmic-shine-33349850.html
