,Name,Price,Links
33,Hp 15-DY1091WM Laptop – Core™ i3 1.20GHz – 10th Gen – 8GB – 256GB – Win10 – Silver,"GH₵ 3,399.00",https://www.jumia.com.gh/hp-15-dy1091wm-laptop-coretm-i3-1.20ghz-10th-gen-8gb-256gb-win10-silver-22136744.html
34,"Lenovo V15 Intel Core i3 - 10th Generation 15.6"" - 4 GB RAM -1 TB HDD - Win 10 Pro - Iron Gray","GH₵ 2,950.00",https://www.jumia.com.gh/v15-intel-core-i3-10th-generation-15.6-4-gb-ram-1-tb-hdd-win-11-pro-iron-gray-lenovo-mpg453449.html
35,Foldable Non-slip Laptop N Stand Portable Thin PC Bracket Ph,GH₵ 129.00,https://www.jumia.com.gh/generic-foldable-non-slip-laptop-n-stand-portable-thin-pc-bracket-ph-37248977.html
36,Hp Laptop 17.3 inch - AMD Athlon Silver 3050U - 4GB RAM - 256GB SSD - Windows 10 - Silver,"GH₵ 2,999.00",https://www.jumia.com.gh/hp-laptop-17.3-inch-amd-athlon-silver-3050u-4gb-ram-256gb-ssd-windows-10-silver-43233465.html
37,"Hp Pavilion 14-DQ1043CL - Intel Core i3-1005G1, 8GB, 256GB SSD, Win10, Backlit Keyboard – Silver","GH₵ 3,399.00",https://www.jumia.com.gh/pavilion-14-dq1043cl-intel-core-i3-1005g1-8gb-256gb-ssd-win10-backlit-keyboard-silver-hp-mpg442142.html
38,"Hp 250 G8 Notebook Laptop, Intel Core i5, 1TB HDD, 4GB RAM, Windows 10","GH₵ 3,799.00",https://www.jumia.com.gh/hp-250-g8-notebook-laptop-intel-core-i5-1tb-hdd-4gb-ram-windows-10-42690050.html
39,"Hp 840 G7 Elitebook - 14""- i5-10310U - 10th Gen- 512SSD - 8GB RAM - Windows 10 - Silver","GH₵ 5,000.00",https://www.jumia.com.gh/840-g7-elitebook-14-i5-10310u-10th-gen-512ssd-8gb-ram-windows-10-silver-hp-mpg454931.html
40,"Lenovo Ideapad S145-15IGM (81MX) - Intel Celeron N4000- 1TB HDD - 8GB RAM -15.6"" - Windows 10 - Black","GH₵ 2,930.00",https://www.jumia.com.gh/lenovo-ideapad-s145-15igm-81mx-intel-celeron-n4000-1tb-hdd-8gb-ram-15.6-windows-10-black-30948622.html
41,"Lenovo Thinkpad THINKPAD E14 14"" Notebook - Core i5-10210U - 16GB RAM - 256GB SSD - Black","GH₵ 6,200.00",https://www.jumia.com.gh/lenovo-thinkpad-thinkpad-e14-14-notebook-core-i5-10210u-16gb-ram-256gb-ssd-black-22564564.html
42,"Hp Envy x360 Core i5 Up to 4.2 GHz Convertible Laptop - 8G RAM - 256G SSD - 13.3"" Touch - Pale Gold","GH₵ 7,215.00",https://www.jumia.com.gh/hp-envy-x360-core-i5-up-to-4.2-ghz-convertible-laptop-8g-ram-256g-ssd-13.3-touch-pale-gold-38204264.html
43,"DELL Vostro 3000 Series - 11th Gen Intel Core i3-1115G4 - 1TB HDD -4GB RAM -15.6"" - Windows 10 - Gray","GH₵ 3,415.00",https://www.jumia.com.gh/dell-vostro-3000-series-11th-gen-intel-core-i3-1115g4-1tb-hdd-4gb-ram-15.6-windows-10-gray-31343477.html
44,Hp 15-da3007nia Intel Core i3 Laptop - 4GB RAM - 1TB HDD - 15.6'' LED Screen - Windows 11 Pro - Black,"GH₵ 3,090.00",https://www.jumia.com.gh/15-da3007nia-intel-core-i3-laptop-4gb-ram-1tb-hdd-15.6-led-screen-windows-11-pro-black-hp-mpg455286.html
45,Hp Pavilion Gaming -Core i5-10300H - 256SSD- 8GB RAM - 4GB Nvidia- Black,"GH₵ 6,300.00",https://www.jumia.com.gh/pavilion-gaming-core-i5-10300h-256ssd-8gb-ram-4gb-nvidia-black-hp-mpg455211.html
46,"Lenovo Thinkpad X201 - 12"" Intel Core i5 - 4G RAM - 500GB - Win 10 Pro. - Black","GH₵ 1,814.40",https://www.jumia.com.gh/thinkpad-x201-12-intel-core-i5-4g-ram-320gb-win-7-pro.-black-lenovo-mpg453269.html
47,Hp Laptop 15.6” - Intel Celeron Core 2 Duo - 4G - 500GB HDD - Windows 10 - Silver,"GH₵ 1,622.40",https://www.jumia.com.gh/hp-laptop-15.6-intel-celeron-core-2-duo-4g-500gb-hdd-windows-10-silver-33021134.html
