,Laptop,Price,link
26,"Hp Pavilion 15-eg0073cl 15.6″ Touchscreen Laptop – 11th Gen Intel Core i7-1165G7 4.7 GHz -16GB RAM – 512GB SSD – Backlit Keyboard - Fog Blue
GH₵ 6,990.00","GH₵ 3,013.00","Hp Pavilion 15-eg0073cl 15.6″ Touchscreen Laptop – 11th Gen Intel Core i7-1165G7 4.7 GHz -16GB RAM – 512GB SSD – Backlit Keyboard - Fog Blue
GH₵ 6,990.00"
27,"Apple MacBook Pro M1- 256GB-HDD-8GB-RAM-13.3-Space-Gray
GH₵ 9,000.00
GH₵ 9,220.00
2%","GH₵ 6,990.00","Apple MacBook Pro M1- 256GB-HDD-8GB-RAM-13.3-Space-Gray
GH₵ 9,000.00
GH₵ 9,220.00
2%"
28,"Hp 250 G7 - 15.6"" - Intel Celeron N4000 - 1TB HDD - 4GB RAM - Windows 10 Laptop - Gray
GH₵ 2,789.00
GH₵ 2,870.00
3%
5 out of 5
(1)","GH₵ 9,000.00","Hp 250 G7 - 15.6"" - Intel Celeron N4000 - 1TB HDD - 4GB RAM - Windows 10 Laptop - Gray
GH₵ 2,789.00
GH₵ 2,870.00
3%
5 out of 5
(1)"
29,"Hp 250 G8 Notebook Laptop, Intel Core i5, 1TB HDD, 4GB RAM, Windows 10
GH₵ 3,799.00","GH₵ 2,789.00","Hp 250 G8 Notebook Laptop, Intel Core i5, 1TB HDD, 4GB RAM, Windows 10
GH₵ 3,799.00"
30,"Hp 250 G7 - 15.6"" - Intel Core i5 - 1TB HDD - 8GB RAM - Windows 10 - Gray
GH₵ 4,225.00
GH₵ 4,450.00
5%","GH₵ 3,799.00","Hp 250 G7 - 15.6"" - Intel Core i5 - 1TB HDD - 8GB RAM - Windows 10 - Gray
GH₵ 4,225.00
GH₵ 4,450.00
5%"
31,"Lenovo V15 Intel Core i3 - 10th Generation 15.6"" - 4 GB RAM -1 TB HDD - Win 10 Pro - Iron Gray
GH₵ 2,950.00
offers from
5 out of 5
(1)","GH₵ 4,225.00","Lenovo V15 Intel Core i3 - 10th Generation 15.6"" - 4 GB RAM -1 TB HDD - Win 10 Pro - Iron Gray
GH₵ 2,950.00
offers from
5 out of 5
(1)"
32,"Hp ProBook 650 G1 - 15.6 Inches - Intel Core i5, 4GB RAM, 500GB HDD, Win 10 Pro.- Black
GH₵ 2,750.00
GH₵ 3,000.00
8%
5 out of 5
(1)","GH₵ 2,950.00","Hp ProBook 650 G1 - 15.6 Inches - Intel Core i5, 4GB RAM, 500GB HDD, Win 10 Pro.- Black
GH₵ 2,750.00
GH₵ 3,000.00
8%
5 out of 5
(1)"
33,"Shipped from abroad
Foldable Non-slip Laptop N Stand Portable Thin PC Bracket Ph
GH₵ 129.00
GH₵ 258.00
50%","GH₵ 2,750.00","Shipped from abroad
Foldable Non-slip Laptop N Stand Portable Thin PC Bracket Ph
GH₵ 129.00
GH₵ 258.00
50%"
34,"Shipped from abroad
10.1 inch Netbook PC -1GBRAM - 8GBROM - Android 6.0 - Black
GH₵ 779.00
GH₵ 1,038.00
25%",GH₵ 129.00,"Shipped from abroad
10.1 inch Netbook PC -1GBRAM - 8GBROM - Android 6.0 - Black
GH₵ 779.00
GH₵ 1,038.00
25%"
35,"Hp 15-DY1091WM Laptop – Core™ i3 1.20GHz – 10th Gen – 8GB – 256GB – Win10 – Silver
GH₵ 3,399.00",GH₵ 779.00,"Hp 15-DY1091WM Laptop – Core™ i3 1.20GHz – 10th Gen – 8GB – 256GB – Win10 – Silver
GH₵ 3,399.00"
36,"Hp Pavilion 14-DQ1043CL - Intel Core i3-1005G1, 8GB, 256GB SSD, Win10, Backlit Keyboard – Silver
GH₵ 3,399.00
3.8 out of 5
(6)","GH₵ 3,399.00","Hp Pavilion 14-DQ1043CL - Intel Core i3-1005G1, 8GB, 256GB SSD, Win10, Backlit Keyboard – Silver
GH₵ 3,399.00
3.8 out of 5
(6)"
37,"Hp 15.6 Pavilion - i7 8th Gen - Backlit Keyboard -16GB - 512SSD - Silver
GH₵ 5,780.00","GH₵ 3,399.00","Hp 15.6 Pavilion - i7 8th Gen - Backlit Keyboard -16GB - 512SSD - Silver
GH₵ 5,780.00"
38,"Hp 840 G7 Elitebook - 14""- i5-10310U - 10th Gen- 512SSD - 8GB RAM - Windows 10 - Silver
GH₵ 5,000.00
offers from","GH₵ 5,780.00","Hp 840 G7 Elitebook - 14""- i5-10310U - 10th Gen- 512SSD - 8GB RAM - Windows 10 - Silver
GH₵ 5,000.00
offers from"
39,"Lenovo Ideapad S145-15IGM (81MX) - Intel Celeron N4000- 1TB HDD - 4GB RAM -15.6"" - Windows 10 - Black
GH₵ 2,250.00
GH₵ 2,300.00
2%
offers from
4.2 out of 5
(18)","GH₵ 2,120.00","Lenovo Ideapad S145-15IGM (81MX) - Intel Celeron N4000- 1TB HDD - 4GB RAM -15.6"" - Windows 10 - Black
GH₵ 2,250.00
GH₵ 2,300.00
2%
offers from
4.2 out of 5
(18)"
