Laptops,Prices,URLs
Hp Pavilion 15-eg0073cl 15.6″ Touchscreen Laptop – 11th Gen Intel Core i7-1165G7 4.7 GHz -16GB RAM – 512GB SSD – Backlit Keyboard - Fog Blue,"GH₵ 6,990.00",https://www.jumia.com.gh/hp-pavilion-15-eg0073cl-15.6-touchscreen-laptop-11th-gen-intel-core-i7-1165g7-4.7-ghz-16gb-ram-512gb-ssd-backlit-keyboard-fog-blue-42030184.html
Apple MacBook Pro M1- 256GB-HDD-8GB-RAM-13.3-Space-Gray,"GH₵ 9,000.00",https://www.jumia.com.gh/macbook-pro-m1-256gb-hdd-8gb-ram-13.3-space-gray-apple-mpg453612.html
"Hp Pavilion 14-DQ1043CL - Intel Core i3-1005G1, 8GB, 256GB SSD, Win10, Backlit Keyboard – Silver","GH₵ 3,399.00",https://www.jumia.com.gh/pavilion-14-dq1043cl-intel-core-i3-1005g1-8gb-256gb-ssd-win10-backlit-keyboard-silver-hp-mpg442142.html
"Hp 840 G7 Elitebook - 14""- i5-10310U - 10th Gen- 512SSD - 8GB RAM - Windows 10 - Silver","GH₵ 5,000.00",https://www.jumia.com.gh/840-g7-elitebook-14-i5-10310u-10th-gen-512ssd-8gb-ram-windows-10-silver-hp-mpg454931.html
Folding Laptop Table Computer Desk For Student / Bedside - pink,GH₵ 60.00,https://www.jumia.com.gh/generic-folding-laptop-table-computer-desk-for-student-bedside-pink-44386184.html
Foldable Non-slip Laptop N Stand Portable Thin PC Bracket Ph,GH₵ 129.00,https://www.jumia.com.gh/generic-foldable-non-slip-laptop-n-stand-portable-thin-pc-bracket-ph-37248977.html
Hp 15-DY1091WM Laptop – Core™ i3 1.20GHz – 10th Gen – 8GB – 256GB – Win10 – Silver,"GH₵ 3,399.00",https://www.jumia.com.gh/hp-15-dy1091wm-laptop-coretm-i3-1.20ghz-10th-gen-8gb-256gb-win10-silver-22136744.html
DELL Big Pin Charger - 19.5V~6.7A Black,GH₵ 100.00,https://www.jumia.com.gh/dell-big-pin-charger-19.5v6.7a-black-22540446.html?seller_product=1
Biaowang Laptop Backpack Bag - 18.5 Inches - Black,GH₵ 85.00,https://www.jumia.com.gh/biaowang-laptop-backpack-bag-18.5-inches-black-18147151.html
"Laptop Sleeve Bag, For 15.6 inch - Black",GH₵ 60.00,https://www.jumia.com.gh/generic-laptop-sleeve-bag-for-15.6-inch-black-19479590.html
"Lenovo Thinkpad X201 - 12"" Intel Core i5 - 4G RAM - 500GB - Win 10 Pro. - Black","GH₵ 1,814.40",https://www.jumia.com.gh/thinkpad-x201-12-intel-core-i5-4g-ram-320gb-win-7-pro.-black-lenovo-mpg453269.html
Jlt Resources Portable Folding Laptop Stand Desk - Black,GH₵ 190.00,https://www.jumia.com.gh/jlt-resources-portable-folding-laptop-stand-desk-black-17586043.html
"Jiesipote 18"" Travel Laptop Backpack With USB Charging/Headphone Ports - Black",GH₵ 119.93,https://www.jumia.com.gh/jiesipote-18-travel-laptop-backpack-with-usb-chargingheadphone-ports-black-31588614.html
3 Pieces Multifunctional Business School Laptop Backpack- Black,GH₵ 51.00,https://www.jumia.com.gh/generic-3-pieces-multifunctional-business-school-laptop-backpack-black-12873828.html
Plush 3 in 1 Work/Business/School Backpack - Grey/Black,GH₵ 55.00,https://www.jumia.com.gh/generic-plush-3-in-1-workbusinessschool-backpack-greyblack-42369457.html
