Laptops,Prices,URLs
"TDD-10.1 Netbook PC - 10.1"" - Dual-Core - 1GB RAM - Android 6.0 - White",GH₵ 855.00,https://www.jumia.com.gh/generic-tdd-10.1-netbook-pc-10.1-dual-core-1gb-ram-android-6.0-white-2125415.html
"Lenovo V14-IGL - Intel Celeron N4020- 1TB HDD - 4GB RAM - 14"" - Windows 10 - Iron Gray","GH₵ 2,490.00",https://www.jumia.com.gh/lenovo-v14-igl-intel-celeron-n4020-1tb-hdd-4gb-ram-14-windows-10-iron-gray-33396178.html
"Hp ProBook 650 G1 - 15.6 Inches - Intel Core i5, 4GB RAM, 500GB HDD, Win 10 Pro.- Black","GH₵ 2,900.00",https://www.jumia.com.gh/hp-probook-650-g1-15.6-inches-intel-core-i5-4gb-ram-500gb-hdd-win-10-pro.-black-29880588.html
Hp Notebook - 15-da2174nia - 10th Gen Intel Core i5 10210U - 1TB HDD - 8GB RAM - Windows 10 - Black,"GH₵ 3,990.00",https://www.jumia.com.gh/notebook-15-da2174nia-10th-gen-intel-core-i5-10210u-1tb-hdd-8gb-ram-windows-10-black-hp-mpg437608.html
Folding Laptop Table Computer Desk For Student / Bedside - Beige,GH₵ 75.00,https://www.jumia.com.gh/generic-folding-laptop-table-computer-desk-for-student-bedside-beige-44629057.html
Apple MacBook Pro M1- 256GB-HDD-8GB-RAM-13.3-Space-Gray,"GH₵ 9,000.00",https://www.jumia.com.gh/macbook-pro-m1-256gb-hdd-8gb-ram-13.3-space-gray-apple-mpg453612.html
"Hp ProBook 440 G8 - 14"" - Intel Core i7-1165G7 - 512SSD - 16GB RAM - Windows 10 -Silver","GH₵ 9,200.00",https://www.jumia.com.gh/hp-probook-440-g8-14-intel-core-i7-1165g7-512ssd-16gb-ram-windows-10-silver-31036063.html
"Lenovo IdeaPad 330 - 15.6"" - Intel Celeron - 1TB HDD - 4GB DDR4 RAM - Windows 10 - Pentium Gray","GH₵ 2,600.00",https://www.jumia.com.gh/lenovo-ideapad-330-15.6-intel-celeron-1tb-hdd-4gb-ddr4-ram-windows-10-pentium-gray-134271.html
Fashion 16 Inch Laptop Backpack with USB Waterproof - Black,GH₵ 37.05,https://www.jumia.com.gh/fashion-16-inch-laptop-backpack-with-usb-waterproof-black-22098526.html
Anti Theft Backpack - Black,GH₵ 69.00,https://www.jumia.com.gh/anti-theft-backpack-black-generic-mpg440180.html
"Jiesipote 18"" Travel Laptop Backpack With USB Charging/Headphone Ports - Red",GH₵ 119.93,https://www.jumia.com.gh/jiesipote-18-travel-laptop-backpack-with-usb-chargingheadphone-ports-red-31573935.html
Kids Backpack - Blue,GH₵ 63.00,https://www.jumia.com.gh/generic-kids-backpack-blue-30749584.html
Backpack 3 Pcs Anti Theft Laptop/School Bag Backpack - Grey,GH₵ 51.00,https://www.jumia.com.gh/3-pcs-anti-theft-laptopschool-bag-backpack-grey-backpack-mpg454001.html
3 Pieces Multifunctional Backpack Set - Black,GH₵ 52.25,https://www.jumia.com.gh/3-pieces-multifunctional-backpack-set-black-generic-mpg454908.html
Backpack Waterproof Laptop/School With USB Backpack - Grey,GH₵ 48.45,https://www.jumia.com.gh/backpack-waterproof-laptopschool-with-usb-backpack-grey-4761135.html
