,Computer,Amount,links
53,Wireless Bluetooth Headset 2000mAh - Black,GH₵ 75.00,/wireless-bluetooth-headset-2000mah-black-generic-mpg454368.html
54,C3 Bluetooth 5.0 Wireless Headsets 10D Stereo Headphones With LED sports Earphone PRO3,GH₵ 32.00,/generic-c3-bluetooth-5.0-wireless-headsets-10d-stereo-headphones-with-led-sports-earphone-pro3-33321072.html
55,Universal Adjustable Desktop Tablet Stands Phone Holder bracket for ipad phone tablet stand mount,GH₵ 16.74,/generic-universal-adjustable-desktop-tablet-stands-phone-holder-bracket-for-ipad-phone-tablet-stand-mount-30100742.html
56,Nokia 105 (4th Edition) Dual SIM Feature Phone- Charcoal Black,GH₵ 104.00,/105-4th-edition-dual-sim-feature-phone-black-nokia-mpg453273.html
57,Smart Bluetooth watches for ios and Android bands,GH₵ 30.00,/generic-smart-bluetooth-watches-for-ios-and-android-bands-31659428.html
58,TWS Wireless Bluetooth Earphones - White,GH₵ 38.80,/wireless-bluetooth-earphones-white-tws-mpg430467.html
59,P47 Wireless Foldable Bluetooth Headset - Black,GH₵ 33.00,/wireless-bluetooth-headset-with-fm-radio-feature-black-p47-mpg440772.html
60,IOOIOO Micro SD Memory Card - 32GB - Black,GH₵ 19.00,/micro-sd-memory-card-32gb-black-generic-mpg429117.html
61,TWS i12Tws Wireless Bluetooth 5.0 Sport Headset - White,GH₵ 32.98,/tws-i12tws-wireless-bluetooth-5.0-sport-headset-white-19852625.html
62,TWS Wireless Bluetooth Earphones - White,GH₵ 38.80,/wireless-bluetooth-earphones-white-tws-mpg430467.html
63,P47 Top Model Wireless Bluetooth Headset with FM - Black,GH₵ 33.00,/top-model-wireless-bluetooth-headset-with-fm-black-p47-mpg443896.html
64,Lenovo LP40 Bluetooth 5.0  Touch Control Waterproof Earphone headset - White,GH₵ 65.00,/lenovo-lp40-bluetooth-5.0-touch-control-waterproof-earphone-headset-white-20560302.html
65,Pocket Size 3 in 1 Inbuilt USB Cable With LED Display Powerbank - 20000mAh - White,GH₵ 60.00,/portable-power-bank-30000mah-black-white-label-mpg430772.html
66,Smart Watch With Camera & SIM Card Slot - Black,GH₵ 65.00,/generic-smart-watch-with-camera-sim-card-slot-black-15811084.html
67,"116 Plus Smart Watch - 1.3"" Black",GH₵ 36.00,/generic-116-plus-smart-watch-1.3-black-13686282.html
68,"Universal 30,000mAh Inbuilt 3 in 1USB cable Powerbank - White",GH₵ 82.00,/universal-30000mah-inbuilt-3-in-1usb-cable-powerbank-white-22123121.html
69,Wireless Waterproof HD HIFI In-Ear Earphones,GH₵ 32.00,/generic-wireless-waterproof-hd-hifi-in-ear-earphones-13545278.html
70,Lenovo TC02 Wireless Bluetooth Headset - Black,GH₵ 89.00,/lenovo-tc02-wireless-bluetooth-headset-black-18304989.html
71,Combination Waterproof Sports Smart Watch - Black,GH₵ 80.00,/generic-combination-waterproof-sports-smart-watch-black-21503990.html
72,Portable Power Bank - 10000mAh -Black + Samsung 64GB Pendrive Combo,GH₵ 115.00,/white-label-portable-power-bank-10000mah-black-samsung-64gb-pendrive-combo-22195073.html
73,Earphones Stereo With Charging Pods,GH₵ 30.00,/generic-earphones-stereo-with-charging-pods-16103473.html
74,Y30 Bluetooth 5.0 Earphones Wireless 4D Stereo Headphones Fingerprint Touch,GH₵ 39.00,/generic-y30-bluetooth-5.0-earphones-wireless-4d-stereo-headphones-fingerprint-touch-21123974.html
75,Nokia 105 (4th Edition) Dual SIM Cell Phone - Black,GH₵ 105.00,/105-4th-edition-dual-sim-cell-phone-black-nokia-mpg441344.html
76,"X Tigi T1 - Walkie Talkie Telephone Tri SIM - 2.4"" - 64MB - Black",GH₵ 159.00,/t1-2.4-tri-sim-talkie-walkie-telephone-64mb-2mpx-black-x-tigi-mpg16791.html
77,Itel It 2173 Dual Cell Phone - 512MB ROM - 512MB RAM - Black/ Grey,GH₵ 73.00,/itel-it-2173-dual-cell-phone-512mb-rom-512mb-ram-black-grey-16105906.html
78,Itel 2173 Dual Cell Phone - 512MB ROM - 512MB RAM - Black/ Blue + Free Battery & Earpiece,GH₵ 90.00,/2173-dual-cell-phone-512mb-rom-512mb-ram-black-blue-free-battery-earpiece-itel-mpg453632.html
79,Itel It 2173 Dual Cell Phone - 512MB ROM - 512MB RAM - Black/ Grey + Free MP3 Player,GH₵ 95.00,/it-2173-dual-cell-phone-512mb-rom-512mb-ram-black-grey-free-mp3-player-itel-mpg453634.html
80,Nokia 110 (2019 Edition) Dual SIM Feature Phone - Black,GH₵ 165.00,/110-2019-edition-dual-sim-feature-phone-black-nokia-mpg441613.html
81,Itel 2160 Dual Sim Plus FREE P47 Bluetooth Headset - 32MB ROM‎ - 4MB RAM  - Dark Blue,GH₵ 105.00,/2160-dual-sim-plus-free-p47-bluetooth-headset-32mb-rom-4mb-ram-dark-blue-itel-mpg453631.html
82,Nokia 105 Dual SIM 4th Edition  - 32MB ROM‎ - 4MB RAM - Black,GH₵ 130.00,/nokia-105-dual-sim-4th-edition-32mb-rom-4mb-ram-black-18654361.html
83,Itel 2173 Dual SIM Cell Phone - 512MB ROM - 512MB RAM - Grey + Free BT Speaker & Pendrive,GH₵ 140.00,/itel-2173-dual-sim-cell-phone-512mb-rom-512mb-ram-grey-free-bt-speaker-pendrive-18996610.html
84,Tecno T301 Dual SIM - 4MB ROM - 4MB RAM Feature Phone - Black / Gold,GH₵ 125.00,/t301-dual-sim-4mb-rom-4mb-ram-feature-phone-black-gold-tecno-mpg441493.html
85,Nokia 5310 XpressMusic -  2.1 Inch Blue,GH₵ 130.00,/nokia-5310-xpressmusic-2.1-inch-blue-7113586.html
86,Nokia 105 4th Edition  Dual Sim Phone - Black,GH₵ 138.00,/105-4th-edition-dual-sim-phone-black-nokia-mpg455220.html
87,Itel It 2173 Dual Sim - 32MB ROM - 32MB RAM - Black & i12 Wireless Ear bud Combo,GH₵ 110.00,/itel-it-2173-dual-sim-32mb-rom-32mb-ram-black-i12-wireless-ear-bud-combo-17120215.html
88,Nokia New C Series C2-01 Black Gold English Hebrew Keyboard Bar Phone Smart 2 Inch Screen Camera,GH₵ 210.00,/nokia-new-c-series-c2-01-black-gold-english-hebrew-keyboard-bar-phone-smart-2-inch-screen-camera-7113605.html
89,Itel 2160 Dual SIM - 800maH - 32MB ROM - 4MB RAM - Dark Blue,GH₵ 74.00,/itel-2160-dual-sim-800mah-32mb-rom-4mb-ram-dark-blue-16126470.html
